#Name,Accession,Start,Stop,Strand,GeneID,Locus,Locus tag,Protein product,Length,Protein Name
"chromosome A","NC_005967.2",70937,71320,"+",2886463,,"CAGL0A00649g","XP_444801.1",127,"uncharacterized protein CAGL0A00649g"
"chromosome A","NC_005967.2",73333,73623,"+",2886372,,"CAGL0A00715g","XP_444802.1",96,"uncharacterized protein CAGL0A00715g"
"chromosome A","NC_005967.2",74767,76416,"+",2886423,,"CAGL0A00737g","XP_444803.1",549,"uncharacterized protein CAGL0A00737g"
"chromosome A","NC_005967.2",77746,81366,"+",2886454,,"CAGL0A00781g","XP_444804.1",1206,"uncharacterized protein CAGL0A00781g"
"chromosome A","NC_005967.2",81425,84913,"-",2886441,,"CAGL0A00803g","XP_444805.1",1162,"uncharacterized protein CAGL0A00803g"
"chromosome A","NC_005967.2",85331,86425,"+",2886471,,"CAGL0A00825g","XP_444806.1",364,"uncharacterized protein CAGL0A00825g"
"chromosome A","NC_005967.2",86551,87540,"-",2886424,,"CAGL0A00847g","XP_444807.1",329,"uncharacterized protein CAGL0A00847g"
"chromosome A","NC_005967.2",87841,90396,"+",2886360,,"CAGL0A00869g","XP_444808.1",851,"uncharacterized protein CAGL0A00869g"
"chromosome A","NC_005967.2",90494,92752,"-",2886429,,"CAGL0A00891g","XP_444809.1",752,"uncharacterized protein CAGL0A00891g"
"chromosome A","NC_005967.2",92985,97265,"+",2886307,,"CAGL0A00913g","XP_444810.1",1426,"uncharacterized protein CAGL0A00913g"
"chromosome A","NC_005967.2",97372,98052,"-",2886435,,"CAGL0A00935g","XP_444811.1",226,"uncharacterized protein CAGL0A00935g"
"chromosome A","NC_005967.2",98272,99483,"+",2886434,,"CAGL0A00957g","XP_444812.1",403,"uncharacterized protein CAGL0A00957g"
"chromosome A","NC_005967.2",100410,100646,"-",2886413,,"CAGL0A00979g","XP_444813.1",78,"60S ribosomal protein L38"
"chromosome A","NC_005967.2",101642,102301,"+",2886462,,"CAGL0A01001g","XP_444814.1",219,"uncharacterized protein CAGL0A01001g"
"chromosome A","NC_005967.2",102793,104028,"+",2886457,,"CAGL0A01023g","XP_444815.1",411,"uncharacterized protein CAGL0A01023g"
"chromosome A","NC_005967.2",104865,106316,"-",2886317,,"CAGL0A01045g","XP_444816.1",483,"uncharacterized protein CAGL0A01045g"
"chromosome A","NC_005967.2",106866,108791,"+",2886416,,"CAGL0A01067g","XP_444817.1",641,"uncharacterized protein CAGL0A01067g"
"chromosome A","NC_005967.2",109009,110616,"-",2886458,,"CAGL0A01089g","XP_444818.1",535,"uncharacterized protein CAGL0A01089g"
"chromosome A","NC_005967.2",111480,111689,"+",2886293,,"CAGL0A01111g","XP_444819.1",69,"uncharacterized protein CAGL0A01111g"
"chromosome A","NC_005967.2",112037,114442,"+",2886300,,"CAGL0A01133g","XP_444820.1",801,"uncharacterized protein CAGL0A01133g"
"chromosome A","NC_005967.2",114809,116638,"+",2886461,,"CAGL0A01155g","XP_444821.1",609,"uncharacterized protein CAGL0A01155g"
"chromosome A","NC_005967.2",117020,119572,"+",2886477,,"CAGL0A01177g","XP_444822.1",850,"uncharacterized protein CAGL0A01177g"
"chromosome A","NC_005967.2",119731,120042,"+",9487957,,"CAGL0A01193g","XP_002999509.1",103,"uncharacterized protein CAGL0A01193g"
"chromosome A","NC_005967.2",121067,122908,"+",2886303,,"CAGL0A01199g","XP_444823.1",613,"uncharacterized protein CAGL0A01199g"
"chromosome A","NC_005967.2",125780,126661,"+",2886289,,"CAGL0A01221g","XP_444824.1",293,"uncharacterized protein CAGL0A01221g"
"chromosome A","NC_005967.2",127506,129101,"-",2886451,,"CAGL0A01243g","XP_444825.1",531,"uncharacterized protein CAGL0A01243g"
"chromosome A","NC_005967.2",131362,135567,"+",9487958,,"CAGL0A01284g","XP_002999510.1",1401,"uncharacterized protein CAGL0A01284g"
"chromosome A","NC_005967.2",136262,137695,"+",9487959,,"CAGL0A01325g","XP_002999511.1",477,"uncharacterized protein CAGL0A01325g"
"chromosome A","NC_005967.2",140305,144693,"+",9487960,,"CAGL0A01366g","XP_002999512.1",1462,"uncharacterized protein CAGL0A01366g"
"chromosome A","NC_005967.2",145388,146833,"+",2886469,,"CAGL0A01408g","XP_444828.1",481,"uncharacterized protein CAGL0A01408g"
"chromosome A","NC_005967.2",147313,149436,"+",2886466,,"CAGL0A01430g","XP_444829.1",707,"uncharacterized protein CAGL0A01430g"
"chromosome A","NC_005967.2",149750,152194,"+",2886374,,"CAGL0A01452g","XP_444830.1",814,"uncharacterized protein CAGL0A01452g"
"chromosome A","NC_005967.2",153155,154933,"+",2886376,,"CAGL0A01474g","XP_444831.1",592,"uncharacterized protein CAGL0A01474g"
"chromosome A","NC_005967.2",155862,156342,"-",2886362,,"CAGL0A01540g","XP_444832.1",105,"60S ribosomal protein L30"
"chromosome A","NC_005967.2",157645,158112,"+",2886312,,"CAGL0A01562g","XP_444833.1",155,"60S ribosomal protein L24"
"chromosome A","NC_005967.2",158780,159037,"+",2886371,,"CAGL0A01584g","XP_444834.1",85,"uncharacterized protein CAGL0A01584g"
"chromosome A","NC_005967.2",159192,159914,"-",2886352,,"CAGL0A01606g","XP_444835.1",240,"uncharacterized protein CAGL0A01606g"
"chromosome A","NC_005967.2",161327,162601,"+",2886361,,"CAGL0A01628g","XP_444836.1",424,"uncharacterized protein CAGL0A01628g"
"chromosome A","NC_005967.2",163770,164126,"+",2886480,,"CAGL0A01650g","XP_444837.1",118,"uncharacterized protein CAGL0A01650g"
"chromosome A","NC_005967.2",164836,166920,"-",2886467,,"CAGL0A01672g","XP_444838.1",694,"uncharacterized protein CAGL0A01672g"
"chromosome A","NC_005967.2",167242,169167,"-",2886453,,"CAGL0A01694g","XP_444839.1",641,"uncharacterized protein CAGL0A01694g"
"chromosome A","NC_005967.2",169567,170202,"+",2886357,,"CAGL0A01716g","XP_444840.1",211,"uncharacterized protein CAGL0A01716g"
"chromosome A","NC_005967.2",170940,172349,"+",2886464,,"CAGL0A01738g","XP_444841.1",469,"uncharacterized protein CAGL0A01738g"
"chromosome A","NC_005967.2",172608,174425,"-",2886306,,"CAGL0A01760g","XP_444842.1",605,"uncharacterized protein CAGL0A01760g"
"chromosome A","NC_005967.2",175018,176724,"-",2886478,,"CAGL0A01782g","XP_444843.1",568,"uncharacterized protein CAGL0A01782g"
"chromosome A","NC_005967.2",180180,181871,"-",2886473,,"CAGL0A01804g","XP_444844.1",563,"uncharacterized protein CAGL0A01804g"
"chromosome A","NC_005967.2",184013,185779,"-",2886476,,"CAGL0A01826g","XP_444845.2",588,"uncharacterized protein CAGL0A01826g"
"chromosome A","NC_005967.2",187900,190704,"-",2886459,,"CAGL0A01848g","XP_444846.1",934,"uncharacterized protein CAGL0A01848g"
"chromosome A","NC_005967.2",191335,193719,"-",2886284,,"CAGL0A01870g","XP_444847.1",794,"uncharacterized protein CAGL0A01870g"
"chromosome A","NC_005967.2",194560,194826,"+",2886419,,"CAGL0A01892g","XP_444848.1",88,"uncharacterized protein CAGL0A01892g"
"chromosome A","NC_005967.2",195146,206377,"+",2886440,,"CAGL0A01914g","XP_444849.1",3743,"uncharacterized protein CAGL0A01914g"
"chromosome A","NC_005967.2",206981,208201,"+",2886341,,"CAGL0A01958g","XP_444850.1",406,"uncharacterized protein CAGL0A01958g"
"chromosome A","NC_005967.2",208311,210338,"-",2886380,,"CAGL0A01980g","XP_444851.1",675,"uncharacterized protein CAGL0A01980g"
"chromosome A","NC_005967.2",210707,211087,"-",2886344,,"CAGL0A02002g","XP_444852.1",126,"uncharacterized protein CAGL0A02002g"
"chromosome A","NC_005967.2",211829,213901,"-",2886468,,"CAGL0A02024g","XP_444853.1",690,"uncharacterized protein CAGL0A02024g"
"chromosome A","NC_005967.2",215768,218098,"+",2886389,,"CAGL0A02046g","XP_444854.1",776,"uncharacterized protein CAGL0A02046g"
"chromosome A","NC_005967.2",218655,220676,"-",2886340,,"CAGL0A02090g","XP_444855.1",673,"uncharacterized protein CAGL0A02090g"
"chromosome A","NC_005967.2",221288,222934,"+",2886304,,"CAGL0A02112g","XP_444856.1",548,"uncharacterized protein CAGL0A02112g"
"chromosome A","NC_005967.2",223148,224017,"-",2886455,,"CAGL0A02134g","XP_444857.1",289,"uncharacterized protein CAGL0A02134g"
"chromosome I","NC_006032.2",12309,14903,"-",2889307,,"CAGL0I00220g","XP_447262.1",864,"uncharacterized protein CAGL0I00220g"
"chromosome I","NC_006032.2",17649,18146,"-",2889308,,"CAGL0I00242g","XP_447263.1",165,"uncharacterized protein CAGL0I00242g"
"chromosome I","NC_006032.2",18821,19306,"-",2889309,,"CAGL0I00264g","XP_447264.1",161,"uncharacterized protein CAGL0I00264g"
"chromosome I","NC_006032.2",20521,22188,"-",2889310,,"CAGL0I00286g","XP_447265.1",555,"uncharacterized protein CAGL0I00286g"
"chromosome I","NC_006032.2",24166,24558,"-",2889312,,"CAGL0I00308g","XP_447266.1",130,"uncharacterized protein CAGL0I00308g"
"chromosome I","NC_006032.2",24968,26083,"+",2889313,,"CAGL0I00330g","XP_447267.1",371,"uncharacterized protein CAGL0I00330g"
"chromosome I","NC_006032.2",26900,27403,"+",2889314,,"CAGL0I00352g","XP_447268.1",167,"uncharacterized protein CAGL0I00352g"
"chromosome I","NC_006032.2",27597,28154,"-",2889311,,"CAGL0I00374g","XP_447269.1",185,"uncharacterized protein CAGL0I00374g"
"chromosome I","NC_006032.2",29245,29592,"-",2889315,,"CAGL0I00396g","XP_447270.1",115,"uncharacterized protein CAGL0I00396g"
"chromosome I","NC_006032.2",30058,31530,"+",2889318,,"CAGL0I00418g","XP_447271.1",490,"uncharacterized protein CAGL0I00418g"
"chromosome I","NC_006032.2",32511,32921,"-",2889316,,"CAGL0I00440g","XP_447272.1",136,"uncharacterized protein CAGL0I00440g"
"chromosome I","NC_006032.2",33501,34250,"-",2889317,,"CAGL0I00462g","XP_447273.1",249,"uncharacterized protein CAGL0I00462g"
"chromosome I","NC_006032.2",34909,36240,"-",2889406,,"CAGL0I00484g","XP_447274.1",443,"uncharacterized protein CAGL0I00484g"
"chromosome I","NC_006032.2",38137,40002,"-",2889319,,"CAGL0I00506g","XP_447275.1",621,"uncharacterized protein CAGL0I00506g"
"chromosome I","NC_006032.2",40396,41067,"+",2889083,,"CAGL0I00528g","XP_447276.1",223,"uncharacterized protein CAGL0I00528g"
"chromosome I","NC_006032.2",41539,41775,"-",2889300,,"CAGL0I00550g","XP_447277.1",78,"uncharacterized protein CAGL0I00550g"
"chromosome I","NC_006032.2",43780,44097,"+",2889301,,"CAGL0I00572g","XP_447278.1",105,"uncharacterized protein CAGL0I00572g"
"chromosome I","NC_006032.2",44835,45479,"+",2889320,,"CAGL0I00594g","XP_447279.1",214,"uncharacterized protein CAGL0I00594g"
"chromosome I","NC_006032.2",46130,46705,"+",2889173,,"CAGL0I00616g","XP_447280.1",191,"uncharacterized protein CAGL0I00616g"
"chromosome I","NC_006032.2",47120,47902,"+",2889299,,"CAGL0I00638g","XP_447281.1",260,"uncharacterized protein CAGL0I00638g"
"chromosome I","NC_006032.2",48007,49980,"-",2889103,,"CAGL0I00660g","XP_447282.1",657,"uncharacterized protein CAGL0I00660g"
"chromosome I","NC_006032.2",50356,50925,"+",2889104,,"CAGL0I00682g","XP_447283.1",189,"uncharacterized protein CAGL0I00682g"
"chromosome I","NC_006032.2",51136,51966,"-",2889329,,"CAGL0I00704g","XP_447284.1",276,"uncharacterized protein CAGL0I00704g"
"chromosome I","NC_006032.2",52542,52931,"-",2889330,,"CAGL0I00726g","XP_447285.1",129,"uncharacterized protein CAGL0I00726g"
"chromosome I","NC_006032.2",53816,55408,"+",2889043,,"CAGL0I00748g","XP_447286.1",530,"uncharacterized protein CAGL0I00748g"
"chromosome I","NC_006032.2",56013,56969,"-",2889044,,"CAGL0I00770g","XP_447287.1",318,"uncharacterized protein CAGL0I00770g"
"chromosome I","NC_006032.2",57970,59106,"-",2889042,,"CAGL0I00792g","XP_447288.1",143,"40S ribosomal protein S16"
"chromosome I","NC_006032.2",60165,60488,"-",2889041,,"CAGL0I00814g","XP_447289.1",107,"60S acidic ribosomal protein P1"
"chromosome I","NC_006032.2",61200,62609,"-",2889040,,"CAGL0I00836g","XP_447290.1",469,"uncharacterized protein CAGL0I00836g"
"chromosome I","NC_006032.2",63365,63958,"-",2889039,,"CAGL0I00858g","XP_447291.1",197,"uncharacterized protein CAGL0I00858g"
"chromosome I","NC_006032.2",64400,66610,"+",2889037,,"CAGL0I00880g","XP_447292.1",736,"uncharacterized protein CAGL0I00880g"
"chromosome I","NC_006032.2",67387,69090,"-",2889038,,"CAGL0I00902g","XP_447293.1",567,"uncharacterized protein CAGL0I00902g"
"chromosome I","NC_006032.2",75399,76223,"-",2888915,,"CAGL0I00924g","XP_447294.1",274,"uncharacterized protein CAGL0I00924g"
"chromosome I","NC_006032.2",76974,77753,"-",2888914,,"CAGL0I00946g","XP_447295.1",259,"uncharacterized protein CAGL0I00946g"
"chromosome I","NC_006032.2",78375,81368,"+",2888912,,"CAGL0I00968g","XP_447296.1",997,"uncharacterized protein CAGL0I00968g"
"chromosome I","NC_006032.2",81437,82468,"-",2888913,,"CAGL0I00990g","XP_447297.1",343,"uncharacterized protein CAGL0I00990g"
"chromosome I","NC_006032.2",82834,83682,"-",2888911,,"CAGL0I01012g","XP_447298.1",282,"uncharacterized protein CAGL0I01012g"
"chromosome I","NC_006032.2",84159,86510,"+",2889112,,"CAGL0I01034g","XP_447299.1",783,"uncharacterized protein CAGL0I01034g"
"chromosome I","NC_006032.2",86656,89184,"-",2888910,,"CAGL0I01056g","XP_447300.1",842,"uncharacterized protein CAGL0I01056g"
"chromosome I","NC_006032.2",90566,91367,"+",2889332,,"CAGL0I01078g","XP_447301.1",126,"uncharacterized protein CAGL0I01078g"
"chromosome I","NC_006032.2",91693,92625,"-",2889333,,"CAGL0I01100g","XP_447302.1",310,"uncharacterized protein CAGL0I01100g"
"chromosome I","NC_006032.2",93934,94914,"+",2889331,,"CAGL0I01122g","XP_447303.1",326,"uncharacterized protein CAGL0I01122g"
"chromosome I","NC_006032.2",95410,95931,"+",2889335,,"CAGL0I01144g","XP_447304.1",173,"uncharacterized protein CAGL0I01144g"
"chromosome I","NC_006032.2",96786,97745,"+",2889334,,"CAGL0I01166g","XP_447305.1",319,"uncharacterized protein CAGL0I01166g"
"chromosome I","NC_006032.2",98195,99370,"-",2889114,,"CAGL0I01188g","XP_447306.1",391,"uncharacterized protein CAGL0I01188g"
"chromosome I","NC_006032.2",99925,101580,"+",2889115,,"CAGL0I01210g","XP_447307.1",551,"uncharacterized protein CAGL0I01210g"
"chromosome I","NC_006032.2",102013,102645,"+",2889116,,"CAGL0I01232g","XP_447308.1",210,"uncharacterized protein CAGL0I01232g"
"chromosome I","NC_006032.2",102965,104266,"+",2889117,,"CAGL0I01254g","XP_447309.1",433,"uncharacterized protein CAGL0I01254g"
"chromosome I","NC_006032.2",104391,105533,"-",2889118,,"CAGL0I01276g","XP_447310.1",380,"uncharacterized protein CAGL0I01276g"
"chromosome I","NC_006032.2",106160,107614,"+",2889119,,"CAGL0I01298g","XP_447311.1",484,"uncharacterized protein CAGL0I01298g"
"chromosome I","NC_006032.2",107768,109270,"-",2889120,,"CAGL0I01320g","XP_447312.1",500,"uncharacterized protein CAGL0I01320g"
"chromosome I","NC_006032.2",110120,111280,"-",2889121,,"CAGL0I01342g","XP_447313.1",386,"uncharacterized protein CAGL0I01342g"
"chromosome I","NC_006032.2",112055,112666,"-",2889122,,"CAGL0I01364g","XP_447314.1",203,"uncharacterized protein CAGL0I01364g"
"chromosome I","NC_006032.2",112888,114420,"+",2888954,,"CAGL0I01386g","XP_447315.1",510,"uncharacterized protein CAGL0I01386g"
"chromosome I","NC_006032.2",114899,115213,"-",2888955,,"CAGL0I01408g","XP_447316.1",104,"uncharacterized protein CAGL0I01408g"
"chromosome I","NC_006032.2",116167,116640,"+",2888956,,"CAGL0I01430g","XP_447317.1",157,"uncharacterized protein CAGL0I01430g"
"chromosome I","NC_006032.2",117899,119680,"-",2888958,,"CAGL0I01474g","XP_447318.1",593,"uncharacterized protein CAGL0I01474g"
"chromosome I","NC_006032.2",120258,122201,"+",2888959,,"CAGL0I01496g","XP_447319.1",647,"uncharacterized protein CAGL0I01496g"
"chromosome I","NC_006032.2",123041,123460,"+",2888960,,"CAGL0I01518g","XP_447320.1",139,"uncharacterized protein CAGL0I01518g"
"chromosome I","NC_006032.2",124905,125387,"+",2888962,,"CAGL0I01562g","XP_447321.1",160,"uncharacterized protein CAGL0I01562g"
"chromosome I","NC_006032.2",125729,127897,"-",2889321,,"CAGL0I01584g","XP_447322.1",722,"uncharacterized protein CAGL0I01584g"
"chromosome I","NC_006032.2",128683,132156,"+",2889322,,"CAGL0I01606g","XP_447323.1",1157,"uncharacterized protein CAGL0I01606g"
"chromosome I","NC_006032.2",132246,134570,"-",2889323,,"CAGL0I01628g","XP_447324.1",774,"uncharacterized protein CAGL0I01628g"
"chromosome I","NC_006032.2",134918,138286,"-",2889324,,"CAGL0I01650g","XP_447325.1",1122,"uncharacterized protein CAGL0I01650g"
"chromosome I","NC_006032.2",138747,141323,"+",2889325,,"CAGL0I01672g","XP_447326.1",858,"uncharacterized protein CAGL0I01672g"
"chromosome I","NC_006032.2",141422,144637,"-",2889326,,"CAGL0I01694g","XP_447327.1",1071,"uncharacterized protein CAGL0I01694g"
"chromosome I","NC_006032.2",146481,149636,"+",2889105,,"CAGL0I01782g","XP_447328.1",1051,"uncharacterized protein CAGL0I01782g"
"chromosome I","NC_006032.2",149918,150568,"-",2889106,,"CAGL0I01804g","XP_447329.1",216,"mitochondrial 54S ribosomal protein YmL16"
"chromosome I","NC_006032.2",151084,151635,"+",2889107,,"CAGL0I01826g","XP_447330.1",183,"uncharacterized protein CAGL0I01826g"
"chromosome I","NC_006032.2",151998,154103,"-",2889108,,"CAGL0I01848g","XP_447331.1",701,"uncharacterized protein CAGL0I01848g"
"chromosome I","NC_006032.2",154612,156261,"+",2889109,,"CAGL0I01870g","XP_447332.1",549,"uncharacterized protein CAGL0I01870g"
"chromosome I","NC_006032.2",156390,158036,"-",2889110,,"CAGL0I01892g","XP_447333.1",548,"uncharacterized protein CAGL0I01892g"
"chromosome I","NC_006032.2",159798,160229,"+",2889111,,"CAGL0I01914g","XP_447334.1",143,"uncharacterized protein CAGL0I01914g"
"chromosome I","NC_006032.2",160546,161109,"-",2888948,,"CAGL0I01936g","XP_447335.1",187,"uncharacterized protein CAGL0I01936g"
"chromosome I","NC_006032.2",162266,165565,"+",2888947,,"CAGL0I01958g","XP_447336.1",1099,"uncharacterized protein CAGL0I01958g"
"chromosome I","NC_006032.2",166931,170845,"+",2888950,,"CAGL0I01980g","XP_447337.1",1304,"uncharacterized protein CAGL0I01980g"
"chromosome I","NC_006032.2",171015,171944,"-",2888951,,"CAGL0I02002g","XP_447338.1",309,"uncharacterized protein CAGL0I02002g"
"chromosome I","NC_006032.2",172231,173433,"-",2888949,,"CAGL0I02024g","XP_447339.1",400,"uncharacterized protein CAGL0I02024g"
"chromosome I","NC_006032.2",175036,176085,"-",2888953,,"CAGL0I02046g","XP_447340.1",349,"uncharacterized protein CAGL0I02046g"
"chromosome I","NC_006032.2",176743,177165,"+",2888952,,"CAGL0I02068g","XP_447341.1",140,"uncharacterized protein CAGL0I02068g"
